AMTRAK,IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,CASINJRR,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,STATION,COUNTY,STATE,REGION,DUMMY2,CITY,HIGHWAY,VEHSPD,TYPVEH,VEHDIR,POSITION,RREQUIP,RRCAR,TYPACC,HAZARD,TEMP,VISIBLTY,WEATHER,TYPEQ,TYPTRK,TRKNAME,TRKCLAS,NBRLOCOS,NBRCARS,TRNSPD,TYPSPD,TRNDIR,SIGNAL,LOCWARN,WARNSIG,LIGHTS,STANDVEH,TRAIN2,MOTORIST,VIEW,VEHDMG,DRIVER,INVEH,TOTKLD,TOTINJ,TOTOCC,INCDRPT,JOINTCD,TYPRR,DUMMY3,CASKLDRR,DUMMY4,CROSSING,NARRLEN,DUMMY5,YEAR4,DIVISION,PUBLIC,CNTYCD,STCNTY,HZMRLSED,HZMNAME,HZMQNTY,HZMMEAS,SIGWARNX,WHISBAN,DRIVAGE,DRIVGEN,PLEONTRN,SSB1,SSB2,USERKLD,USERINJ,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,NARR1,NARR2,NARR3,NARR4,NARR5,SUBDIV,ROADCOND,VIDEOT,VIDEOU,
,12,3,UP  ,0312RS009,,,    ,          ,12,3,UP  ,0312RS009,,0,753122J,12,3,16,9,15,AM,WOODBRIDGE          ,SAN JOAQUIN         ,6,7,,LODI                ,CHURCH & LOCKFORD   ,0,A,4,2,1,1,1,4,50,2,3,1,4,LEAD                ,1,1,4,10,E,4,1,1,1,2,2,2,4,8,1000,3,1,0,0,1,2,1,1,,0,  ,507,56,,2012,                    ,Y,77,06C077,4,,,, , ,49,1,3,                    ,                    ,0,0,0,0,0,0,HIEHWAY USER'S ACTIONS: STOPPED ON CROSSING ( NO GATES).,,,,,WOODBRIDGE          ,B,1,2,
,12,3,UP  ,0312RS025,,,    ,          ,12,3,UP  ,0312RS025,,0,752922S,12,3,30,9,35,PM,ACAMPO              ,SAN JOAQUIN         ,6,7,,                    ,JAHANT ROAD         ,0,A,4,2,1,1,1,4,60,4,1,1,1,SINGLE MAIN         ,5,3,59,35,E,3,1,1, ,2,2,2,4,8,1000,3,2,0,0,0,2,1,1,,0,  ,1030607,117,,2012,                    ,Y,77,06C077,4,,,, , ,35,1,2,                    ,                    ,0,0,0,0,0,0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING ( BEFORE GATES DESCENDED). DRIVER ABANDON THE VEHICLE AN,D LEFT THE SCENE.,,,,FRESNO SUB          ,A,1,2,
,12,10,BNSF,CA1012201,,,    ,          ,12,10,BNSF,CA1012201,,0,027649P,12,10,7,8,25,PM,LOS NIETOS          ,LOS ANGELES         ,6,7,,SANTA FE SPRINGS    ,NORWALK BLVD        ,0,A,1,2,1,1,1,4,70,4,1,1,1,MAIN 1 TRACK,4,2,63,38,R,3,1,1,2,2,2,2,5,8,2000,3,2,0,0,0,2,1,1,,0,  ,103,41,,2012,                    ,Y,37,06C037,4,,,, , ,  ,1,3,                    ,                    ,0,0,0,0,0,0,DRIVER AGE UNKNOW.  41: ABANDONED VEHICLE,,,,,SAN BERNARDINO      ,A,1,2,
,12,10,BNSF,CA1012202,,,    ,          ,12,10,BNSF,CA1012202,,0,029768F,12,10,14,4,15,PM,PITTSBURG           ,CONTRA COSTA        ,6,7,,                    ,MC AVOY RD          ,,K,1,3,6,1,1,4,82,2,1,8,1,SINGLE MAIN         ,4,2,0,41,R,3,1,1,2,2, ,2,8,8,, , ,1,0,0,2,1,1,,0,  ,103,80,,2012,                    ,Y,13,06C013,4,,,, , ,44,1,3,                    ,                    ,1,0,0,0,0,0,"12/18/12 PER CONTRA COSTA COUNTY CORONERS REPORT, MANNER OF DEATH RULED SUICIDE.",,,,,STOCKTON            ,A,1,1,
,12,7,BNSF,CA0712201,,,    ,          ,12,7,BNSF,CA0712201,,1,027488W,12,7,28,8,55,PM,FRESNO              ,FRESNO              ,6,7,,FRESNO              ,FIGARDEN DR         ,0,A,1,2,1,1,1,4,76,4,1,1,1,SINGLE MAIN         ,5,6,110,26,R,4,1,1,1,1,2,2,4,8,2000,2,1,0,1,1,2,1,1,,0,  ,102,0,,2012,                    ,Y,19,06C019,4,,,, , ,49,2,2,                    ,                    ,0,1,0,0,0,0,,,,,,STOCKTON            ,A,1,2,
,12,6,UP  ,0612RS011,,,    ,          ,12,6,UP  ,0612RS011,,0,756950J,12,6,18,3,58,PM,BAKERSFIELD         ,KERN                ,6,7,,                    ,ZERKER ROAD         ,50,C,4,3,1,1,2,4,100,2,1,1,4,INDUSTRIAL LEAD     ,1,1,6,3,R,2,1,1, ,2,2,2,1,8,1000,3,1,0,0,1,2,1,1,,0,  ,102030607,124,,2012,                    ,Y,29,06C029,4,,,, , ,40,1,3,                    ,                    ,0,0,0,0,0,0,HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING.  TRAIN STRUCK THE TRAILER PORTION OF TRACTOR ,TRAILER RIG/NO INJURIES.,,,,MOJAVE SUB          ,A,2,2,
,12,5,UP  ,0512RS015,,,    ,          ,12,5,UP  ,0512RS015,,0,752418E,12,5,18,3,10,PM,HOLLISTER           ,SAN BENITO          ,6,7,,HOLLISTER           ,FOURTH STREET       ,0,D,3,2,2,1,1,4,80,2,1,1,4,INDL                ,1,1,7,2,E,2,1,1,1,1,2,2,4,8,2000,3,1,0,0,5,2,1,1,,0,  ,203050607,55,,2012,                    ,Y,69,06C069,4,,,, , ,19,1,3,                    ,                    ,0,0,0,0,0,0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (NO GATES).,,,,,HOLLISTER IND LD    ,A,2,2,
,12,5,UP  ,0512RS019,,,    ,          ,12,5,UP  ,0512RS019,,0,865336L,12,5,27,12,35,PM,MANTECA             ,SAN JOAQUIN         ,6,7,,MANTECA             ,CASTLE ST           ,1,A,2,3,1,1,1,4,70,2,1,7,4,INDUSTRY LEAD       ,1,2,11,10,E,4, ,1, ,2,2,2,2,5,1000,3,1,0,0,1,2,1,1,,0,  ,807,51,,2012,                    ,Y,77,06C077,4,,,, , ,65,2,3,                    ,                    ,0,0,0,0,0,0,HIGHWAY USER'S ACTIONS: STOPPED AND THEN PROCEEDED.,,,,,MCHENRY IND LD      ,A,2,2,
K,12,5,ATK ,123875,,,    ,          ,12,5,UP  ,0512RS012,,0,749787X,12,5,15,12,57,PM,FREMONT             ,ALAMEDA             ,6,7,,FREMONT             ,NURSERY AVE         ,0,K,3,2,1,1,1,4,85,2,1,2,1,SINGLE MAIN         ,4,1,4,70,E,2,1,1,1,2, ,2,5,8,0, , ,1,0,1,2,1,6,,1,  ,10306,131,,2012,                    ,Y,1,06C001,4,,,, , ,73,1,31,                    ,                    ,1,0,0,0,0,0,TRAIN 535 OPERATING WITH LOCOMOTIVE E/2010 AND 4 CARS STRUCK A PEDESTRIAN LEANING OVER THE TRACKS AT,"MP28.50, NURSERY AVE CROSSING.",,,,NILES               ,A,2,2,
,12,5,SDTI,20120514,,,    ,          ,12,5,SDTI,20120514,,1,026859B,12,5,14,9,14,AM,MIDDLETOWN          ,SAN DIEGO           ,6,7,,SAN DIEGO           ,SASSAFRAS STREET    ,15,M,4,3,1,1,1, ,66,2,1,2,1,WEST MAIN           ,3,1,2,45,E,4,1,1,2,2,2,2,1,8,0,2,1,0,1,1,2,1,3,,0,  ,102030607,203,,2012,                    ,Y,73,06C073, ,,,, , ,21,2,1,                    ,                    ,0,1,0,0,0,0,WESTBOUND (OOS) TRAIN #12 WAS ON APPROACH TO THE SASSAFRAS STREET GRADE CROSSING  AND OBSERVED GATE,PROTECTION DEVICES FULLY ACTIVATED. THE TRAIN ENTERED THE GRADE CROSSING AND WAS STRUCK BY A BICYCLI,ST.,,,GREEN LINE          ,A,2,2,
