AMTRAK,IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,CASINJRR,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,STATION,COUNTY,STATE,REGION,DUMMY2,CITY,HIGHWAY,VEHSPD,TYPVEH,VEHDIR,POSITION,RREQUIP,RRCAR,TYPACC,HAZARD,TEMP,VISIBLTY,WEATHER,TYPEQ,TYPTRK,TRKNAME,TRKCLAS,NBRLOCOS,NBRCARS,TRNSPD,TYPSPD,TRNDIR,SIGNAL,LOCWARN,WARNSIG,LIGHTS,STANDVEH,TRAIN2,MOTORIST,VIEW,VEHDMG,DRIVER,INVEH,TOTKLD,TOTINJ,TOTOCC,INCDRPT,JOINTCD,TYPRR,DUMMY3,CASKLDRR,DUMMY4,CROSSING,NARRLEN,DUMMY5,YEAR4,DIVISION,PUBLIC,CNTYCD,STCNTY,HZMRLSED,HZMNAME,HZMQNTY,HZMMEAS,SIGWARNX,WHISBAN,DRIVAGE,DRIVGEN,PLEONTRN,SSB1,SSB2,USERKLD,USERINJ,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,NARR1,NARR2,NARR3,NARR4,NARR5,SUBDIV,ROADCOND,VIDEOT,VIDEOU,
,15,9,ARR ,2015206,,,    ,          ,15,9,ARR ,2015206,,0,868249T,15,9,12,8,0,AM,ANCHORAGE TERMINAL  ,ANCHORAGE           ,2,8,,ANCHORAGE           ,POTTER GUN CLUB     ,2,C,4,5,1,4,2,4,42,2,2,2,1,MAIN                ,3,2,8,2,E,2,1,2,2,2,1,2,2,8,31489,3,1,0,0,1,1,1,2,,0,  ,10607,326,,2015,                    ,Y,20,02C020,4,,,, , ,  ,1,239,                    ,                    ,0,0,0,0,0,0,9/12/15 CONDUCTOR CALLED TO REPORT A COMMERCIAL VEHICLE HIT CROSSING ARMS AT MP 102.8. THE DRIVER WA,S IN A COMMERCIAL DUMP TRUCK PULLING LG TRAILER WITH A DOZER. HE SAID HE WAS AT A COMPLETE STOP AT T,HE GATE WHILE IT WAS GETTING UNLOCKED BY A RANGE OFFICIAL.  THE DRIVER STARTED TO PULL THROUGH.  DRI,VER INFO IS NOT AVAILABLE.,,SYSTEM              ,A,2,2,
,15,9,SFRV,922151,,,    ,          ,15,9,SFRV,922151,,1,628378W,15,9,22,6,22,PM,HIALEAH MARKET      ,MIAMI-DADE          ,12,3,,HIALEAH             ,NW NORTH RIVER DRIVE,6,A,3,3,2,1,1,4,85,3,3,C,1,SINGLE TRACK MAIN   ,4,1,3,22,R,1,1,1,3,3,3,2,2,8,1000,2,1,0,1,1,2,1,6,,0,  ,102030607,323,,2015,                    ,Y,86,12C086,4,,,, , ,25,2,58,                    ,                    ,0,1,0,0,0,0,NORTHBOUND TRAIN STRUCK AN EASTBOUND VEHICLE WHOSE DRIVER WAS ATTEMPTING TO BEAT THE TRAIN THROUGH T,"HE CROSSING. DRIVER, SOLE OCCUPANT OF THE VEHICLE, SUSTAINED POSSIBLE MINOR NECK STRAIN AND WAS TRAN","SPORTED BY FIRE RESCUE, THREE HOURS LATER, FOR EVALUATION/TREATMENT. CROSSING WARNING DEVICES WERE F",UNCTIONING AS INTENDED.,,SFLORIDARAILCORRIDOR,B,2,2,
,15,12,CFRC,15335,,,    ,          ,15,12,CFRC,15335,,1,622169T,15,12,1,6,10,PM,WINTER PARK         ,ORANGE              ,12,3,,WINTER PARK         ,SO. ORLANDO AVE     ,,A,4,5,1,1,1,4,80,4,1,3,1,1,4,1,2,30,R,2,1,1,1,1,2,2,4,7,1000,3,1,0,1,1,2,1,6,,0,  ,102050607,231,,2015,                    ,Y,95,12C095,4,,,, , ,27,2,44,                    ,                    ,0,1,0,0,0,0,TRAIN P329 WITH TRAIN CONSIST 109-3001-2003-2002  STRUCK VEHICLE THAT WAS STOP ON TRACKS AT MP A 786,.90. DRIVER OF THE VEHICLE HAS CLAIMED  A INJURY. DRIVER CLAIMS SUFFER INJURY TO HER NECK AND BACK A,LONG WITH HAVING BAD HEADACHES. ,,,ORLANDO             ,A,1,1,
,15,12,FEC ,X10120515,,,    ,          ,15,12,FEC ,X10120515,,0,272390P,15,12,5,2,0,AM,JUPITER             ,PALM BEACH          ,12,3,,RIVIERA BEACH       ,BLUE HERON BLVD.    ,0,D,4,1,1,1,1,2,70,4,3,1,1,DOUBLE MAIN TRACK   ,4,2,39,46,E,1,1,1,1,1,2,2,4,8,10000,3,2,0,0,0,2,1,2,,0,  ,10206,107,,2015,                    ,Y,99,12C099,4,,,, , ,31,1,2,                    ,                    ,0,0,0,0,0,0,TRAIN STRUCK UNOCCUPIED VEHICLE AT THE BLUE HERON BOULEVARD CROSSING.  NO PERSONAL INJURIES WERE SUS,TAINED.,,,,SYSTEM              ,B,2,2,
,15,2,UP  ,0215RS001,,,    ,          ,15,2,UP  ,0215RS001,,0,756980B,15,2,1,9,23,PM,TULARE              ,TULARE              ,6,7,,TULARE              ,KERN STREET         ,,K,4,3,1,1,1,2,41,4,1,1,1,MAIN TRACK          ,4,3,75,51,E,1,1,1,1,3, ,2,1,8,, , ,1,0,0,2,1,1,,1,  ,102030607,93,,2015,                    ,Y,107,06C107,4,,,, , ,25,1,3,                    ,                    ,1,0,0,0,0,0,PEDESTRIAN RAN IN FRONT OF THE TRAIN.  HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING.,,,,,FRESNO SUB          ,A,1,2,
,15,6,CSX ,147654,,,    ,          ,15,6,XTAF,XXX       ,,1,938149H,15,6,12,9,54,AM,TAFT                ,ORANGE              ,12,3,,ORLANDO             ,PRIVATE             ,4,A,2,3,2,1,1,4,86,2,1,7,4,RAMP 4,1,1,33,3,R,1, , , ,2,2,2,3,8,3500,2,1,0,1,1,2,1,1,,0,  ,12,500,,2015,                    ,N,95,12C095,4,,,, , ,21,1,2,                    ,                    ,0,1,0,0,0,0,"A77912 WAS SWITCHING OUT CARS AT TDSI IN TRACKS 3 AND 4.  AFTER PLACING 3 CARS INTO TRACK #3, THE CO","COUPLE BACK TO THE CARS REMAINING IN TRACK #4.  AFTER COUPLING, HE SHOVED THE CARS INTO TRACK #4 FR","OM A PLACE WHERE HE COULD SEE THE BOTTOM OF THE CUT, BUT COULD NOT SEE THE CROSSING FROM THE OPPOSIT","E SIDE, HITTING THE CAR, CROSSING OVER A PRIVATE ROAD CROSSING, WATERMELON CROSSING.PINNACLE RAIL SE",RVICE EMPLOYEE WAS NOT ATTENTIVE WHEN CROSSING THE TRACKS.  THERE WAS NOT A PROCEDURE IN PLACE BY EI,SANFORD             ,A,2,2,
,15,6,CSX ,147679,,,    ,          ,15,6,CSX ,147679,,1,339711K,15,6,13,3,9,AM,PENSACOLA           ,ESCAMBIA            ,12,3,,PENSACOLA           ,EAST JORDAN STREET  ,0,A,4,2,1,1,1,2,81,4,1,1,2,WEST TRACK          ,2,6,90,14,E,1,1,2,2,2,2,2,4,8,4000,2,1,0,1,1,2,1,1,,0,  ,1030611,229,,2015,                    ,Y,33,12C033,4,,,, , ,58,1,2,                    ,                    ,0,1,0,0,0,0,Q60101 WAS TRAVELING SOUTH ON THE WEST TRACK IN GOULDING YARD LIMITS AND STRUCK A 2001 BUICK CENTURY, AT JORDAN ST. ROAD CROSSING.PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STO,P LINES AND RR XING SYMBOLS).,,,P&A                 ,A,1,1,
,15,5,CSX ,146307,,,    ,          ,15,5,CSX ,146307,,0,625069Y,15,5,17,3,15,AM,OCALA               ,MARION              ,12,3,,OCALA               ,SW BROADWAY ST      ,0,D,1,1,1,1,1,4,80,4,1,1,1,#2 MAIN,4,5,121,48,E,1,1,1,2,2,2,2,5,8,6500,3,2,0,0,0,2,1,1,,0,  ,1030611,262,,2015,                    ,Y,83,12C083,4,,,, , ,23,1,2,                    ,                    ,0,0,0,0,0,0,Q60417 STRUCK AN ABANDONED VEHICLE AT THE CROSSING. THE TRUCK WAS ATTEMPTING TO MAKE A U TURN AND WE,NT OFF THE ROADWAY AND ONTO THE CROSSING WHERE IT BECAME STUCK. PROTECTION ALSO AT CROSSING: ADVANCE, WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).,,,WILDWOOD            ,A,2,2,
K,15,5,ATK ,137627,,,    ,          ,15,5,CSX ,147083,,1,624365G,15,5,30,12,12,PM,TAMPA               ,HILLSBOROUGH        ,12,3,,                    ,TAMPA EAST DR.      ,20,A,4,3,1,1,1,4,90,2,1,2,1,SINGLE MAIN TRACK   ,4,2,9,79,R,2,1,1,2,2,1,2,1,8,2000,2,1,0,1,1,2,1,6,,0,  ,1030607,165,,2015,                    ,Y,57,12C057,4,,,, , ,26,1,128,                    ,                    ,0,1,0,0,0,0,TRAIN 91 OPERATING WITH LOCOMOTIVES E/97-E/94 AND 9 CARS STRUCK AN OCCUPIED AUTOMOBILE AT MP A876.51,", TAMPA EAST BLVD CROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $760.00.",,,,TAMPA               ,A,1,2,
,15,5,CSX ,145990,,,    ,          ,15,5,CSX ,145990,,0,626842E,15,5,8,6,2,PM,OLDSMAR             ,PINELLAS            ,12,3,,OLDSMAR             ,FOREST LAKES BLVD   ,,A,4,4,1,1,1,4,88,2,1,1,1,SINGLE MAIN         ,2,1,2,9,R,2,1,1,2,1,2,2,4,8,250,3,1,0,0,1,2,1,1,,0,  ,3060711,79,,2015,                    ,Y,103,12C103,4,,,, , ,45,1,2,                    ,                    ,0,0,0,0,0,0,085508 TRAVELING SOUTHBOUND STRUCK AN AUTOMOBILE THAT WAS FOULING THE CROSSING.,,,,,CLEARWATER          ,A,2,2,
