AMTRAK,IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,CASINJRR,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,STATION,COUNTY,STATE,REGION,DUMMY2,CITY,HIGHWAY,VEHSPD,TYPVEH,VEHDIR,POSITION,RREQUIP,RRCAR,TYPACC,HAZARD,TEMP,VISIBLTY,WEATHER,TYPEQ,TYPTRK,TRKNAME,TRKCLAS,NBRLOCOS,NBRCARS,TRNSPD,TYPSPD,TRNDIR,SIGNAL,LOCWARN,WARNSIG,LIGHTS,STANDVEH,TRAIN2,MOTORIST,VIEW,VEHDMG,DRIVER,INVEH,TOTKLD,TOTINJ,TOTOCC,INCDRPT,JOINTCD,TYPRR,DUMMY3,CASKLDRR,DUMMY4,CROSSING,NARRLEN,DUMMY5,YEAR4,DIVISION,PUBLIC,CNTYCD,STCNTY,HZMRLSED,HZMNAME,HZMQNTY,HZMMEAS,SIGWARNX,WHISBAN,DRIVAGE,DRIVGEN,PLEONTRN,SSB1,SSB2,USERKLD,USERINJ,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,NARR1,NARR2,NARR3,NARR4,NARR5,SUBDIV,ROADCOND,VIDEOT,VIDEOU,
,13,8,UP  ,0813LA005,,,    ,          ,13,8,UP  ,0813LA005,,1,810939F,13,8,6,9,45,PM,HUNTINGTON PARK     ,LOS ANGELES         ,6,7,,HUNTINGTON PARK     ,SLAUSON AVE         ,30,A,3,3,B,1,2,4,68,4,1,7,4,SANDBERG LEAD 717,1,2,1,6,E,1, ,1, ,1,2,2,3,8,1000,2,1,0,1,1,2,1,1,,0,  ,709,67,,2013,                    ,Y,37,06C037,4,,,, , ,77,1,2,                    ,                    ,0,1,0,0,0,0,HIGHWAY USER'S ACTIONS: DID NOT STOP. VEHICLE IMPACTED THE BOX CAR.,,,,,SAN PEDRO SUB       ,A,1,2,
,13,8,UP  ,0813LA018,,,    ,          ,13,8,UP  ,0813LA018,,2,811479J,13,8,20,5,42,PM,PUEJCT              ,LOS ANGELES         ,6,7,,CITY OF INDUSTRY    ,NOGALES STREET      ,,A,2,4,1,1,1,4,84,2,1,1,1,NO. 2 MAIN,4,3,110,41,R,3,1,3, ,1,2,2,4,8,5000,2,1,0,2,2,2,1,1,,0,  ,1030607,69,,2013,                    ,Y,37,06C037,4,,,, , ,81,1,3,                    ,                    ,0,2,0,0,0,0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED).,,,,,LOS ANGELES SUB     ,A,2,2,
,13,6,CCT ,CAXCV62613,,,    ,          ,13,6,CCT ,CAXCV62613,,0,842793D,13,6,26,1,0,PM,SHOPS               ,SAN JOAQUIN         ,6,7,,STOCKTON            ,STOCKTON RECYCLE    ,0,D,2,2,6,1,1,4,96,2,1,8,1,CENTRAL VALLEY MAIN ,2,1,0,7,R,2, ,1,2,1,2,2,4,7,1000,3,1,0,0,1,2,1,3,,0,  ,811,348,,2013,                    ,N,77,06C077,4,,,, , ,56,2,3,                    ,                    ,0,0,0,0,0,0,TRAIN CV01-26 WAS MOVING SOUTH LIGHT ENGINES AT 7 MPH WHEN VEHICLE PULLED FROM STOCKTON RECYCLE CENT,ER ON PRIVATE CROSSING AND STOPPED ON TRACK  DRIVER STATED THAT SHE COULD NOT GET TRUCK BACK IN GEAR,", AFTER INPACT ON LEFT REAR OF PICK-UP TRUCK DIRVER DROVE OFF AND TRAIN CREW HAD TO RUN TO CATCH HER", AND STOP HER FROM LEAVING SCENE OF THE ACCIDENT,,CENTRALVALLEY       ,A,1,2,
K,13,7,ATK ,129033,,,    ,          ,13,7,UP  ,0713RS006,,0,752252C,13,7,14,11,55,AM,SALINAS             ,MONTEREY            ,6,7,,                    ,ESPINOSA RD         ,25,B,4,3,1,1,2,4,70,2,1,2,1,SINGLE MAIN TRACK   ,4,2,13,50,E,2,1,1,2,2,2,2,2,8,5000,3,1,0,0,1,2,1,6,,0,  ,102030607,145,,2013,                    ,Y,53,06C053,4,,,, , ,32,1,296,                    ,                    ,0,0,0,0,0,0,TRAIN 11 OPERATING WITH LOCOMOTIVES E/181-E/17 AND 13 CARS WAS STRUCK BY A TRUCK AT ESPINOSA RD CROS,"SING.  AMTRAKS EQUIPMENT DAMAGE IS $6,456.00.",,,,COAST               ,A,1,2,
,13,7,BNSF,SW0713200,,,    ,          ,13,7,BNSF,SW0713200,,0,025436X,13,7,9,10,25,AM,PHOENIX             ,MARICOPA            ,4,7,,PHOENIX             ,MCDOWELL RD         ,,J,3,4,2,1,1,2,96,2,1,7,1,SINGLE MAIN         ,2,1,11,6,R,4,1,1,1,2,2,2,4,8,1000,3,1,0,0,1,2,1,1,,0,  ,306,0,,2013,                    ,Y,13,04C013,4,,,, , ,86,2,3,                    ,                    ,0,0,0,0,0,0,,,,,,PHOENIX             ,A,2,2,
,13,2,BNSF,SW0213202,,,    ,          ,13,2,BNSF,SW0213202,,1,025422P,13,2,18,9,10,AM,GLENDALE            ,MARICOPA            ,4,7,,                    ,43RD & CAMELBACK,0,A,3,2,6,1,1,4,70,2,1,8,1,SINGLE MAIN         ,2,9,0,18,E,3,1,1,1,1,3,2,4,8,2000,2,1,0,1,1,2,1,1,,0,  ,203,0,,2013,                    ,Y,13,04C013,4,,,, , ,36,1,3,                    ,                    ,0,1,0,0,0,0,,,,,,PHOENIX             ,A,1,2,
,13,12,UP  ,1213RS016,,,    ,          ,13,12,UP  ,1213RS016,,0,924454C,13,12,30,12,45,AM,ROSEVILLE           ,PLACER              ,6,7,,ROSEVILLE           ,UP YARD CROSSING    ,3,J,3,3,6,1,1,4,47,4,2,8,2,TRACK 115,1,2,0,7,R,3, ,1, ,2,2,2,3,8,1000,3,1,0,0,4,2,1,1,,0,  ,8,124,,2013,                    ,N,61,06C061,4,,,, , ,50,1,0,                    ,                    ,0,0,0,0,0,0,HIGHWAY USER'S ACTIONS: DID NOT STOP.  THIS WAS AN RCL MOVE AND THE CREW WAS ON THE GROUND (NOT ON T,RAIN) AT TIME OF IMPACT.  ,,,,MARTINEZ SUB        ,A,1,1,
,13,1,UP  ,0113ST003,,,    ,          ,13,1,UP  ,0113ST003,,0,741383A,13,1,16,11,2,PM,BENSON              ,COCHISE             ,4,7,,BENSON              ,PATAGONIA STREET    ,5,A,2,3,1,1,2,2,38,4,1,1,1,NO. 1 MAIN,5,4,58,43,R,3,1,1,1,1,2,1,8,8,15000,2,1,0,1,1,2,1,1,,0,  ,103050607,108,,2013,                    ,Y,3,04C003,4,,,, , ,44,2,2,                    ,                    ,0,1,0,0,0,0,HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING.  THIS WAS A VERIFIED SUICIDE BY BENSON POLICE, REPORT.  ,,,,LORDSBURG SUB       ,A,1,2,
,13,1,UP  ,0113ST006,,,    ,          ,13,1,UP  ,0113ST006,,1,741560C,13,1,17,6,52,AM,TEMPLE              ,MARICOPA            ,4,7,,TEMPE               ,UNIVERSITY DRIVE    ,5,E,1,3,1,1,2,2,52,2,1,1,1,SINGLE MAIN         ,4,3,112,22,E,4,1,1, ,1,2,2,1,8,5000,2,1,0,1,1,2,1,1,,0,  ,1030607,55,,2013,                    ,Y,13,04C013,4,,,, , ,60,2,2,                    ,                    ,0,1,0,0,0,0,HIGHWAY USER'S ACTIONS:  WENT AROUND THE GATE - MOVING.,,,,,PHOENIX SUB         ,A,1,2,
,13,1,UP  ,0113ST012,,,    ,          ,13,1,UP  ,0113ST012,,0,742127M,13,1,30,12,15,PM,SAHUARITA           ,PIMA                ,4,7,,                    ,PRIVATE CROSSING    ,8,C,4,3,1,1,1,4,57,2,1,1,1,SINGLE MAIN         ,3,1,6,40,E,2, ,1, ,2,2,2,2,8,10000,3,1,0,0,1,1,1,1,,0,  ,8,51,,2013,                    ,Y,19,04C019,4,,,, , ,50,1,2,                    ,                    ,0,0,0,0,0,0,HIGHWAY USER'S ACTIONS: STOPPED AND THEN PROCEEDED.,,,,,NOGALES SUB         ,A,1,2,
